cube	(105, 105, 105)	3000	0.4
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	9.099768518709858	782
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	1.8494401406507164	777
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	1094.5439820967902	777
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	7.202863287711683	786
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	1003.4933258247531	786
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	5.320510563084734	777
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	1.4488253598202463	781
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	3.1781713100688385	786
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	6.849579213954004	787
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	5.342166610943524	789
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	905.5001951298138	783
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	6.715399931371322	789
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	4.541796529526813	784
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	1048.9771091231025	782
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	9.336968815194568	788
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	4.644121488239834	778
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	916.2320219470212	779
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1.5653941339004778	791
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	951.6853156934523	784
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	6.261346733029213	785
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	968.1760319656248	789
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	4.606603630582323	781
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1018.0724961291163	791
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	9.78250878662363	784
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	920.2376340793132	780
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	945.7506976012625	791
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	911.5808453154388	777
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	4.57481668080855	787
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	2.690900006637257	780
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	4.9507485886472935	788
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	1020.4242063612436	782
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	7.499295733854447	782
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	5.760943875283227	783
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	3.9710535125403372	780
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	1010.9376202498665	785
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	6.435657717150741	788
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	1022.4452400731109	790
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	5.904330426546945	779
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	3.041466249466568	788
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	1080.8637592250789	787
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	8.433649978730603	789
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	3.7462245475645735	787
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	7.182837589040047	783
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	6.1301494775199314	784
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	5.693689186983637	779
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	7.325287914099139	779
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	6.576946270440974	778
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	8.296607705483975	785
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	1003.396440815975	783
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	8.524460845871783	785
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	1030.8891741745529	790
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	7.936792900417282	781
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	5.867285046590271	780
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	6.3323842870578	786
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	5.461524996814971	778
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	6.8867607149739785	790
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	7.247578860104358	778
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	7.853225651121019	790
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	2.815688442223252	781
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	3.9963470242227	791
