cube	(101, 101, 101)	999999	1
../Liu2015/star_b_normal_nh.binvox	51796	6.634671033956561	780
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	3.6875289291256763	777
../Liu2015/star_b_normal_nh.binvox	51796	5.845202341082214	780
../Liu2015/star_b_normal_nh.binvox	51796	9.7771956744078	780
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	5.152633957442731	777
../Liu2015/arrow_b_normal_nh.binvox	63346	3.974808026584724	779
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	1095.2329832692742	777
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	4.090445490394142	777
../Liu2015/cube_b_normal_nh.binvox	22816	961.8512764564339	781
../Liu2015/arrow_b_normal_nh.binvox	63346	905.0830805812393	779
../Liu2015/arrow_b_normal_nh.binvox	63346	1.4836398120000882	779
../Liu2015/ring_b_normal_nh.binvox	64515	941.4936562210798	778
../Liu2015/arrow_b_normal_nh.binvox	63346	1.7658426484202483	779
../Liu2015/cube_b_normal_nh.binvox	22816	926.153681231014	781
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	2.820026733763374	777
../Liu2015/arrow_b_normal_nh.binvox	63346	2.081312367602263	779
../Liu2015/cube_b_normal_nh.binvox	22816	7.778064834679165	781
../Liu2015/cube_b_normal_nh.binvox	22816	4.510276952854441	781
../Liu2015/star_b_normal_nh.binvox	51796	7.619646179611615	780
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	9.361065788980614	777
../Liu2015/arrow_b_normal_nh.binvox	63346	8.93649013113766	779
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	1.1005279840596396	777
../Liu2015/cube_b_normal_nh.binvox	22816	1093.2189912014394	781
../Liu2015/cube_b_normal_nh.binvox	22816	1.558078465078659	781
../Liu2015/star_b_normal_nh.binvox	51796	6.072417432781549	780
../Liu2015/arrow_b_normal_nh.binvox	63346	6.339790844367874	779
../Liu2015/ring_b_normal_nh.binvox	64515	7.013190522519602	778
../Liu2015/star_b_normal_nh.binvox	51796	4.035495927965179	780
../Liu2015/tetrahedron_b_normal_nh.binvox	67589	4.48282775811164	777
../Liu2015/star_b_normal_nh.binvox	51796	909.6449556423236	780
../Liu2015/cube_b_normal_nh.binvox	22816	4.113708987284514	781
../Liu2015/cube_b_normal_nh.binvox	22816	4.9166247293638	781
../Liu2015/ring_b_normal_nh.binvox	64515	1057.857195262018	778
../Liu2015/arrow_b_normal_nh.binvox	63346	5.7006451221998145	779
../Liu2015/star_b_normal_nh.binvox	51796	5.830495132533698	780
../Liu2015/ring_b_normal_nh.binvox	64515	8.38790703788823	778
