cylinder	(121, 121, 121)	999999	1
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	1046.482399133765	781
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	947.5143852720845	791
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	5.862257231875309	787
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	1030.4781817871146	778
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	8.41580319335787	785
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	1.7389410752851848	778
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	7.8538902892597156	786
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	1.4972148818913822	778
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	6.738700776200377	779
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	9.12930606147401	791
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	3.626921441958407	782
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	6.026468343730915	777
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	3.7451112306912053	784
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	9.974361840412291	788
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	6.736783356681155	784
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	949.5645123652783	778
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	2.028410182896926	790
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	6.258871085276504	777
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	7.277818593768221	784
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	6.064963818893178	787
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	9.709167875819714	789
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	4.69978346689475	782
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	2.8518117464607755	786
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	8.212915862653249	780
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	7.3797061716194445	789
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	924.5688662393777	783
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	6.850435509673159	783
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	1073.8672670628425	788
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1.829931369758357	791
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	2.060413103886737	787
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	5.887649060445841	790
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	4.501502506164346	781
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	1031.2190552941443	779
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	9.322406541239	780
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	8.768435750623528	780
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	1065.268390665146	788
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	4.907496156446466	779
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	5.745068281962808	784
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	1.526065558633075	782
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	962.780074494085	789
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	1059.4575357414467	781
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	9.96366012741574	781
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	9.453589647259978	790
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	5.469027270495939	782
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	7.319768533561004	785
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	7.1511792664183735	779
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	1.7087325375742675	783
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	8.118848579316928	777
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	7.289289462492386	786
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	4.436796439395712	777
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	915.0341358863294	785
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	3.3854208115510334	788
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	4.9930394037980355	787
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	2.233531938643805	786
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1088.0518721899014	791
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	8.77468054359786	789
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	1024.3332546590377	780
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	3.606596088999888	785
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	6.895212023302908	783
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	5.457177989066855	790
