cylinder	(62, 62, 62)	999999	1
../Chess/classic_pawn_extracoarse_nh.binvox		2245	7.527458869147806	780
../Chess/classic_bishop_extracoarse_nh.binvox		4236	950.4123499610953	777
../Chess/classic_knight_2_extracoarse_nh.binvox	5678	6.5465244601355055	779
../Chess/classic_bishop_extracoarse_nh.binvox		4236	7.4726900427676215	777
../Chess/classic_pawn_extracoarse_nh.binvox		2245	4.379368314591516	780
../Chess/classic_bishop_extracoarse_nh.binvox		4236	6.112943138947093	777
../Chess/classic_pawn_extracoarse_nh.binvox		2245	1060.1350761650497	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	5.263896690101932	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	1002.2755986645893	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	7.849709580188129	780
../Chess/classic_bishop_extracoarse_nh.binvox		4236	1.9747108159589861	777
../Chess/classic_rook_extracoarse_nh.binvox		5197	6.0573010275659405	782
../Chess/classic_pawn_extracoarse_nh.binvox		2245	5.183295781881	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	3.209441928083252	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	4.485624177142331	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	2.4260462536687606	780
../Chess/classic_king_extracoarse_nh.binvox		6946	4.063315501308461	778
../Chess/classic_pawn_extracoarse_nh.binvox		2245	4.275773878829051	780
../Chess/classic_king_extracoarse_nh.binvox		6946	9.232568213761457	778
../Chess/classic_rook_extracoarse_nh.binvox		5197	3.6076178796992866	782
../Chess/classic_pawn_extracoarse_nh.binvox		2245	7.183354565762697	780
../Chess/classic_knight_2_extracoarse_nh.binvox	5678	4.666214207119362	779
../Chess/classic_knight_2_extracoarse_nh.binvox	5678	6.7736827999119456	779
../Chess/classic_pawn_extracoarse_nh.binvox		2245	8.539565020734955	780
../Chess/classic_queen_extracoarse_nh.binvox		7105	3.518093421331397	781
../Chess/classic_pawn_extracoarse_nh.binvox		2245	4.609430433587264	780
../Chess/classic_pawn_extracoarse_nh.binvox		2245	952.6180877902474	780
../Chess/classic_queen_extracoarse_nh.binvox		7105	1009.2613948174755	781
../Chess/classic_pawn_extracoarse_nh.binvox		2245	8.41046951290711	780
../Chess/classic_rook_extracoarse_nh.binvox		5197	974.0037811050603	782
../Chess/classic_knight_2_extracoarse_nh.binvox	5678	9.830968602395556	779
../Chess/classic_rook_extracoarse_nh.binvox		5197	3.1646058980901444	782
