cube	(148, 148, 148)	999999	1
../Stoyan2004/polytope9_normal_nh.binvox	40811	9.345321099020373	785
../Stoyan2004/polytope7_normal_nh.binvox	10204	2.4135494006143277	783
../Stoyan2004/polytope3_normal_nh.binvox	35455	942.3080079651545	779
../Stoyan2004/polytope3_normal_nh.binvox	35455	4.317887583681136	779
../Stoyan2004/polytope5_normal_nh.binvox	5972	7.753083439072618	781
../Stoyan2004/polytope1_normal_nh.binvox	91920	2.6869880134286324	777
../Stoyan2004/polytope10_normal_nh.binvox	18116	7.204894449009027	786
../Stoyan2004/polytope5_normal_nh.binvox	5972	2.169785463037238	781
../Stoyan2004/polytope2_normal_nh.binvox	54769	7.649178570886634	778
../Stoyan2004/polytope8_normal_nh.binvox	41610	4.817570701492281	784
../Stoyan2004/polytope6_normal_nh.binvox	31586	947.5871636385272	782
../Stoyan2004/polytope1_normal_nh.binvox	91920	7.030218316020142	777
../Stoyan2004/polytope10_normal_nh.binvox	18116	7.121081212706951	786
../Stoyan2004/polytope4_normal_nh.binvox	17680	5.66705662285913	780
../Stoyan2004/polytope7_normal_nh.binvox	10204	8.185667772913197	783
../Stoyan2004/polytope6_normal_nh.binvox	31586	2.7387382737317676	782
../Stoyan2004/polytope4_normal_nh.binvox	17680	8.206758436255015	780
../Stoyan2004/polytope9_normal_nh.binvox	40811	1.9386895656036605	785
../Stoyan2004/polytope8_normal_nh.binvox	41610	2.4424634790761455	784
../Stoyan2004/polytope2_normal_nh.binvox	54769	6.148286133602834	778
