cube	(105, 105, 105)	999999	1
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	3.3677319208844523	783
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	8.66118076885447	784
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	1025.2981196828252	779
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	7.113685867871486	791
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	8.499825230565401	788
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	8.707127270577795	789
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	5.632503826818344	785
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	2.681705989831157	778
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	8.104330927206007	790
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	1055.1386348164801	786
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	5.207541430978443	786
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	1094.555289235413	783
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	9.789127756767671	777
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	970.0050793081513	789
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	3.8904709263207593	788
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	6.177569820110591	782
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	3.925076892490761	781
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	7.473849880353252	780
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	970.4974377224667	777
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	1076.914922444656	784
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	5.091652934998258	780
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	7.627029442936848	785
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	8.996573009560318	787
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	981.8287235827269	779
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	9.394335784349018	791
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	9.002421023105223	790
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	1007.1630028009748	778
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	2.8411529527693986	787
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	1.3825621574064928	781
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	3.5143136243159123	782
