cube	(157, 157, 157)	999999	1
../Stoyan2005/stoyan5_normal_nh.binvox	101560	9.35145016470698	781
../Stoyan2005/stoyan5_normal_nh.binvox	101560	2.492753068127748	781
../Stoyan2005/stoyan7_normal_nh.binvox	144000	2.6680300318096664	783
../Stoyan2005/stoyan1_normal_nh.binvox	124443	1.7182640823040791	777
../Stoyan2005/stoyan2_normal_nh.binvox	61282	7.037107297890139	778
../Stoyan2005/stoyan4_normal_nh.binvox	91298	8.360923501578934	780
../Stoyan2005/stoyan6_normal_nh.binvox	107012	6.198557122196422	782
../Stoyan2005/stoyan6_normal_nh.binvox	107012	6.638884606812863	782
../Stoyan2005/stoyan3_normal_nh.binvox	86265	7.409655521233467	779
../Stoyan2005/stoyan5_normal_nh.binvox	101560	1040.478615760659	781
../Stoyan2005/stoyan7_normal_nh.binvox	144000	5.471965401641005	783
../Stoyan2005/stoyan7_normal_nh.binvox	144000	1018.127745059248	783
