cube	(105, 105, 105)	4000	0.3
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	7.901797381802227	786
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	9.724194731405277	786
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	3.78057858344442	777
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	3.5001484825325084	781
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	9.166248602418802	780
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	9.823106195042321	784
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	5.706384625048799	778
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	3.402735804985338	791
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	7.104906392285784	785
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	949.4283157263554	785
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	9.181990281315574	784
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	3.5506432991357357	782
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	3.2022658655426097	783
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	3.6837967085654593	782
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	3.9172257305318494	788
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	4.79634998574109	788
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	7.986028761455234	789
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	9.058485253596197	789
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	6.849139102190786	786
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	7.329543774683471	782
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	9.656066084524252	789
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	2.2644118254082075	779
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	1089.3477374971114	783
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	985.5789027073531	781
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	9.193531284652673	790
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	6.078190082537693	788
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	3.0246101343688743	780
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	6.476887640748435	790
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	1085.5605416669778	785
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	947.9510020499844	787
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	8.411717628883949	777
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	4.527256066975013	777
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	9.093190846544735	785
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	8.168877125192648	786
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	5.174492844420808	780
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	4.295138934355511	787
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	2.7665550533366705	779
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	4.146011387281704	783
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	4.224703720951915	780
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	1001.836036156232	777
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	5.789804577492382	791
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	952.2406995244553	784
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	8.1604724419168	778
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	965.1022917367762	788
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	974.0684078507868	778
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	7.092931918840317	791
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	5.427832239118878	790
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	3.4908752243617864	789
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	964.9510264947321	781
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	9.056819751685145	784
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	1.5776932457243138	787
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	9.098231522686524	778
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	6.346303192713725	782
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	2.5195842515128377	790
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	1.3565373500817919	779
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	5.118842173346139	781
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	948.3646483286333	783
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1012.4835731081226	791
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	7.04614856672509	779
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	963.8708246437915	787
