cylinder	(121, 121, 121)	2000	0.3
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	5.2537120950101475	781
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	5.563241117968706	781
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	7.889635176477332	790
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	7.557107630777641	777
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	1093.1723269918923	790
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	8.038907565815416	786
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	4.500015377926683	780
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	9.445729670100118	786
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	923.6054244174214	779
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	8.051758785452998	791
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	9.500158020095919	783
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	1.2295458155852712	784
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	7.625126067364171	778
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	5.97261393253035	785
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	2.6028092404667422	788
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	1012.088877971118	778
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	8.538584608383474	783
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	8.604853352904236	782
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	8.139820039123224	782
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	1.7546522965470612	791
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	3.634197873712071	788
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	6.944352107942857	787
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	949.9894340674232	791
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	2.5691366687443558	777
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	6.9488373276172135	789
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	9.44209406214679	779
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	7.247668845572191	785
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	7.888968746587194	780
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	7.320473608959193	789
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	5.960471030676362	789
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	2.509234178424055	783
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	2.678972792150486	777
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	917.4831537540293	787
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	8.4877632139461	788
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	8.59506167949641	780
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	3.547634259172203	786
../Merged/merged_normal/part5_big_normal_nh.binvox	2415	5.774224330721241	788
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	3.7433700926761846	781
../Merged/merged_normal/stoyan5_normal_nh.binvox	30940	1035.4069732223506	781
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	957.6339065071415	790
../Merged/merged_normal/thin_big_normal_nh.binvox	22872	987.4103243490794	791
../Merged/merged_normal/stick2_big_normal_nh.binvox	3072	1084.7919186528798	790
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	932.3400759476938	779
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	7.659343194264782	778
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	1050.2039623636974	785
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	8.645182662187956	784
../Merged/merged_normal/stoyan4_normal_nh.binvox	27662	5.396220560746839	780
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	4.9838109482003095	784
../Merged/merged_normal/part3_big_normal_nh.binvox	5088	5.083045180428711	786
../Merged/merged_normal/part6_big_normal_nh.binvox	3776	7.454347553548292	789
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	4.879111771986784	782
../Merged/merged_normal/stoyan7_normal_nh.binvox	44472	919.4212110854345	783
../Merged/merged_normal/stoyan2_normal_nh.binvox	19722	9.401892901915657	778
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	1082.4841128133694	787
../Merged/merged_normal/stoyan1_normal_nh.binvox	38370	7.6692355172609386	777
../Merged/merged_normal/block1_big_normal_nh.binvox	55296	7.801170408089415	784
../Merged/merged_normal/part2_big_normal_nh.binvox	42303	6.234147505332655	785
../Merged/merged_normal/stoyan6_normal_nh.binvox	32970	4.6784515343931155	782
../Merged/merged_normal/part4_big_normal_nh.binvox	36144	4.295143866762125	787
../Merged/merged_normal/stoyan3_normal_nh.binvox	26244	3.8141481009636315	779
