shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,7.715565,1.951162,0.084435,0.028339,0.0,0.0,0.0,0.0,5
cube,2000,0.3,7.715565,1.951162,0.084435,0.028339,0.0,0.0,0.0,0.0,5
cube,2000,0.4,7.715565,1.951162,0.084435,0.028339,0.0,0.0,0.0,0.0,5
cube,3000,0.2,4.864794,1.263109,0.135206,0.038444,3.478304,6.12021,6.666667,14.90712,5
cube,3000,0.3,4.861706,1.268703,0.138294,0.044244,0.61419,0.851446,0.0,0.0,5
cube,3000,0.4,4.861706,1.268703,0.138294,0.044244,0.61419,0.851446,0.0,0.0,5
cube,4000,0.2,3.622139,0.459461,0.177861,0.013007,4.034299,5.866097,6.666667,14.90712,5
cube,4000,0.3,3.408392,0.575289,0.191608,0.027732,7.127784,10.907699,6.666667,14.90712,5
cube,4000,0.4,3.408392,0.575289,0.191608,0.027732,7.127784,10.907699,6.666667,14.90712,5
cylinder,2000,0.2,6.523718,2.105208,0.076282,0.032466,0.0,0.0,0.0,0.0,5
cylinder,2000,0.3,6.523718,2.105208,0.076282,0.032466,0.0,0.0,0.0,0.0,5
cylinder,2000,0.4,6.523718,2.105208,0.076282,0.032466,0.0,0.0,0.0,0.0,5
cylinder,3000,0.2,4.280854,1.17997,0.119146,0.04183,0.0,0.0,0.0,0.0,5
cylinder,3000,0.3,4.280854,1.17997,0.119146,0.04183,0.0,0.0,0.0,0.0,5
cylinder,3000,0.4,4.280854,1.17997,0.119146,0.04183,0.0,0.0,0.0,0.0,5
cylinder,4000,0.2,3.252962,0.571345,0.147038,0.028795,2.268779,5.073145,6.666667,14.90712,5
cylinder,4000,0.3,3.042318,0.871851,0.157682,0.035549,0.0,0.0,0.0,0.0,5
cylinder,4000,0.4,3.042318,0.871851,0.157682,0.035549,0.0,0.0,0.0,0.0,5
