shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,5.706834,1.331117,0.093166,0.027621,0.0,0.0,0.0,0.0,5
cube,2000,0.3,5.706834,1.331117,0.093166,0.027621,0.0,0.0,0.0,0.0,5
cube,2000,0.4,5.706834,1.331117,0.093166,0.027621,0.0,0.0,0.0,0.0,5
cube,3000,0.2,3.644508,0.876687,0.155492,0.040492,1.210944,2.707753,0.0,0.0,5
cube,3000,0.3,3.644508,0.876687,0.155492,0.040492,3.333219,4.589335,0.0,0.0,5
cube,3000,0.4,3.644508,0.876687,0.155492,0.040492,3.333219,4.589335,0.0,0.0,5
cube,4000,0.2,3.014865,0.473073,0.185135,0.026114,4.977249,3.698916,0.0,0.0,5
cube,4000,0.3,3.006432,0.477797,0.193568,0.030943,4.310145,4.165184,0.0,0.0,5
cube,4000,0.4,3.006432,0.477797,0.193568,0.030943,4.310145,4.165184,0.0,0.0,5
cylinder,2000,0.2,5.528767,1.969557,0.071233,0.020653,0.0,0.0,0.0,0.0,5
cylinder,2000,0.3,5.528767,1.969557,0.071233,0.020653,0.0,0.0,0.0,0.0,5
cylinder,2000,0.4,5.528767,1.969557,0.071233,0.020653,0.0,0.0,0.0,0.0,5
cylinder,3000,0.2,3.474422,1.37854,0.125578,0.037194,0.0,0.0,0.0,0.0,5
cylinder,3000,0.3,3.474422,1.37854,0.125578,0.037194,0.0,0.0,0.0,0.0,5
cylinder,3000,0.4,3.474422,1.37854,0.125578,0.037194,0.0,0.0,0.0,0.0,5
cylinder,4000,0.2,2.43838,0.933578,0.16162,0.039504,2.950737,4.173155,0.0,0.0,5
cylinder,4000,0.3,2.43838,0.933578,0.16162,0.039504,2.950737,4.173155,0.0,0.0,5
cylinder,4000,0.4,2.43838,0.933578,0.16162,0.039504,2.950737,4.173155,0.0,0.0,5
