shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,9.443068,0.90952,0.156932,0.015274,0,0,0,0,5
cube,3000,0.2,7.004025,0.451272,0.195975,0.004129,1.524667,1.394311,2.857143,6.388766,5
cube,4000,0.2,6.801971,0.000746,0.198029,0.000746,2.212768,1.956516,5.714286,7.824608,5
cube,2000,0.3,9.032679,1.329334,0.167321,0.025715,0,0,0,0,5
cube,3000,0.3,5.328384,0.927789,0.271616,0.033469,8.374423,5.761031,11.333333,10.434984,5
cube,4000,0.3,4.702968,0.001998,0.297032,0.001998,5.901983,5.95595,8,10.954451,5
cube,2000,0.4,8.826911,1.615314,0.173089,0.034568,2.991737,6.689727,2.857143,6.388766,5
cube,3000,0.4,5.31075,0.940486,0.28925,0.046583,8.781475,8.144492,7.333333,10.110501,5
cube,4000,0.4,4.466942,0.460221,0.333058,0.013502,3.224245,4.211785,5,11.18034,5
,,,6.768633111,0.737408889,0.231366889,0.019553778,3.667922,3.790423556,4.788359778,7.031379556,
cylinder,2000,0.2,7.839913,1.609596,0.160087,0.028705,2.256485,4.950442,2,4.472136,5
cylinder,3000,0.2,5.80249,0.000562,0.19751,0.000562,1.234832,0.7938,0,0,5
cylinder,4000,0.2,5.80183,0.001068,0.19817,0.001068,1.029203,1.000173,0,0,5
cylinder,2000,0.3,7.628352,1.682072,0.171648,0.039568,5.555556,7.856742,4.857143,6.821335,5
cylinder,3000,0.3,4.732513,0.731538,0.267487,0.025745,4.877158,5.406205,5,11.18034,5
cylinder,4000,0.3,4.316204,0.557907,0.283796,0.010289,1.679041,3.754449,5,11.18034,5
cylinder,2000,0.4,7.628352,1.682072,0.171648,0.039568,5.555556,7.856742,4.857143,6.821335,5
cylinder,3000,0.4,4.933724,0.47069,0.266276,0.02348,4.067724,4.2249,0,0,5
cylinder,4000,0.4,4.306229,0.57157,0.293771,0.024014,4.20487,8.630398,5,11.18034,5
,,,5.887734111,0.811897222,0.223377,0.021444333,3.384491667,4.941539,2.968254,5.739536222,
