shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,2.014199,0.469964,0.185801,0.02321,1.536116,1.855447,0.0,0.0,5
cube,2000,0.3,1.929375,0.510344,0.270625,0.063134,6.100349,1.752326,0.0,0.0,5
cube,2000,0.4,1.706854,0.772098,0.293146,0.077154,6.704045,1.232911,20.0,44.72136,5
cube,3000,0.2,1.802916,0.003394,0.197084,0.003394,3.050693,3.015954,0.0,0.0,5
cube,3000,0.3,1.70577,0.011726,0.29423,0.011726,6.071276,5.513395,0.0,0.0,5
cube,3000,0.4,0.874901,0.476195,0.325099,0.028981,7.873257,4.24655,80.0,44.72136,5
cube,4000,0.2,1.802676,0.003541,0.197324,0.003541,2.378395,1.937848,0.0,0.0,5
cube,4000,0.3,1.700996,0.001067,0.299004,0.001067,10.580739,15.416452,0.0,0.0,5
cube,4000,0.4,0.870127,0.465519,0.329873,0.018305,12.38272,14.317393,80.0,44.72136,5
cylinder,2000,0.2,2.872659,0.011576,0.127341,0.011576,3.493327,5.101171,0.0,0.0,5
cylinder,2000,0.3,2.871686,0.011497,0.128314,0.011497,2.025635,2.893048,0.0,0.0,5
cylinder,2000,0.4,2.871686,0.011497,0.128314,0.011497,2.025635,2.893048,0.0,0.0,5
cylinder,3000,0.2,1.80122,0.001798,0.19878,0.001798,2.268113,2.466391,0.0,0.0,5
cylinder,3000,0.3,1.748878,0.023345,0.251122,0.023345,5.816615,3.618663,0.0,0.0,5
cylinder,3000,0.4,1.748878,0.023345,0.251122,0.023345,5.816615,3.618663,0.0,0.0,5
cylinder,4000,0.2,1.800764,0.00085,0.199236,0.00085,2.254278,2.442521,0.0,0.0,5
cylinder,4000,0.3,1.54145,0.46048,0.25855,0.026169,6.888339,4.679313,20.0,44.72136,5
cylinder,4000,0.4,1.54145,0.46048,0.25855,0.026169,6.888339,4.679313,20.0,44.72136,5
