shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,4.31168,1.879701,0.08832,0.067255,0.0,0.0,0.0,0.0,5
cube,2000,0.3,4.310562,1.881568,0.089438,0.06957,0.560395,1.253081,0.0,0.0,5
cube,2000,0.4,4.310562,1.881568,0.089438,0.06957,0.560395,1.253081,0.0,0.0,5
cube,3000,0.2,2.465078,0.598223,0.134922,0.050906,1.138111,2.544894,0.0,0.0,5
cube,3000,0.3,2.262011,0.949423,0.137989,0.055974,1.672404,2.526582,20.0,44.72136,5
cube,3000,0.4,2.262011,0.949423,0.137989,0.055974,1.672404,2.526582,20.0,44.72136,5
cube,4000,0.2,2.241544,0.59605,0.158456,0.048807,0.537992,1.202986,0.0,0.0,5
cube,4000,0.3,2.036529,0.886852,0.163471,0.054293,2.048698,2.074931,20.0,44.72136,5
cube,4000,0.4,2.036529,0.886852,0.163471,0.054293,2.048698,2.074931,20.0,44.72136,5
cylinder,2000,0.2,3.312515,2.353881,0.087485,0.057678,0.0,0.0,0.0,0.0,5
cylinder,2000,0.3,3.312515,2.353881,0.087485,0.057678,0.0,0.0,0.0,0.0,5
cylinder,2000,0.4,3.312515,2.353881,0.087485,0.057678,0.0,0.0,0.0,0.0,5
cylinder,3000,0.2,1.879235,1.268123,0.120765,0.043827,0.0,0.0,0.0,0.0,5
cylinder,3000,0.3,1.879235,1.268123,0.120765,0.043827,0.0,0.0,0.0,0.0,5
cylinder,3000,0.4,1.879235,1.268123,0.120765,0.043827,0.0,0.0,0.0,0.0,5
cylinder,4000,0.2,1.6721,0.870038,0.1279,0.036317,0.0,0.0,0.0,0.0,5
cylinder,4000,0.3,1.6721,0.870038,0.1279,0.036317,0.0,0.0,0.0,0.0,5
cylinder,4000,0.4,1.6721,0.870038,0.1279,0.036317,0.0,0.0,0.0,0.0,5
