shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,10.831601,1.604131,0.168399,0.023037,0.430321,0.701238,0.0,0.0,5
cube,2000,0.3,10.8283,1.608682,0.1717,0.027837,0.0,0.0,0.0,0.0,5
cube,2000,0.4,10.625204,1.509029,0.174796,0.026133,2.01396,4.464434,1.818182,4.065578,5
cube,3000,0.2,8.8032,0.002071,0.1968,0.002071,0.749464,0.944374,0.0,0.0,5
cube,3000,0.3,6.728311,0.727805,0.271689,0.021261,3.80389,7.891727,2.857143,6.388766,5
cube,3000,0.4,6.51277,0.87208,0.28723,0.036345,0.710824,0.787474,0.0,0.0,5
cube,4000,0.2,8.801423,0.000711,0.198577,0.000711,0.483546,0.477083,0.0,0.0,5
cube,4000,0.3,5.702569,0.002312,0.297431,0.002312,2.958102,2.707206,3.333333,7.45356,5
cube,4000,0.4,5.461279,0.463287,0.338721,0.016203,4.509605,6.362653,4.0,8.944272,5
cylinder,2000,0.2,10.447857,2.549405,0.152143,0.039662,2.438789,4.33229,1.818182,4.065578,5
cylinder,2000,0.3,10.240542,2.84257,0.159458,0.050188,0.0,0.0,0.0,0.0,5
cylinder,2000,0.4,10.240542,2.84257,0.159458,0.050188,0.0,0.0,0.0,0.0,5
cylinder,3000,0.2,8.007142,0.456945,0.192858,0.009765,0.388765,0.54262,0.0,0.0,5
cylinder,3000,0.3,6.970919,1.346609,0.229081,0.042926,1.034723,2.313712,0.0,0.0,5
cylinder,3000,0.4,6.968664,1.349209,0.231336,0.045665,3.191779,4.381438,0.0,0.0,5
cylinder,4000,0.2,7.80193,0.000704,0.19807,0.000704,0.289479,0.453679,0.0,0.0,5
cylinder,4000,0.3,5.524153,0.454392,0.275847,0.00769,2.578441,2.945986,4.0,8.944272,5
cylinder,4000,0.4,5.317159,0.563589,0.282841,0.016588,7.203983,9.20011,8.0,10.954451,5
