shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,4.216749,0.921644,0.183251,0.02737,1.257184,1.563017,0.0,0.0,5
cube,2000,0.3,3.561106,1.367696,0.238894,0.067154,9.518646,14.266311,13.333333,18.257419,5
cube,2000,0.4,3.543328,1.381298,0.256672,0.079648,9.24423,14.995577,6.666667,14.90712,5
cube,3000,0.2,3.80373,0.001818,0.19627,0.001818,1.53605,1.4892,0.0,0.0,5
cube,3000,0.3,2.700805,0.000525,0.299195,0.000525,4.990423,5.287368,0.0,0.0,5
cube,3000,0.4,2.253275,0.572911,0.346725,0.030912,13.647079,14.705788,20.0,27.386128,5
cube,4000,0.2,3.80373,0.001818,0.19627,0.001818,1.127508,1.721706,0.0,0.0,5
cube,4000,0.3,2.701688,0.002976,0.298312,0.002976,2.135127,2.054942,0.0,0.0,5
cube,4000,0.4,2.047596,0.569414,0.352404,0.026265,13.078309,14.073908,30.0,27.386128,5
cylinder,2000,0.2,4.242115,1.561439,0.157885,0.044884,2.968879,4.212388,6.666667,14.90712,5
cylinder,2000,0.3,4.006002,1.376629,0.193998,0.074777,5.632106,10.913133,4.0,8.944272,5
cylinder,2000,0.4,4.006002,1.376629,0.193998,0.074777,5.0,11.18034,4.0,8.944272,5
cylinder,3000,0.2,3.207261,0.55652,0.192739,0.00914,2.682747,4.039356,6.666667,14.90712,5
cylinder,3000,0.3,2.749519,0.745992,0.250481,0.040913,12.132377,15.789071,16.666667,23.570226,5
cylinder,3000,0.4,2.531583,0.897328,0.268417,0.061468,18.716643,14.130839,26.666667,25.276251,5
cylinder,4000,0.2,2.801211,0.000935,0.198789,0.000935,4.194139,5.223119,13.333333,18.257419,5
cylinder,4000,0.3,2.318032,0.561368,0.281968,0.0137,3.400576,4.47263,20.0,27.386128,5
cylinder,4000,0.4,2.098943,0.574916,0.301057,0.0309,10.38417,10.885339,30.0,27.386128,5
