dataset,container_shape,ALG,Select_range,PES,OES,best_N_mean,best_N_std,best_U_star_mean,best_U_star_std,origin_N_mean,origin_N_std,origin_U_star_mean,origin_U_star_std,time_cost_s_mean,time_cost_s_std,n_seeds
Merged1_normal,cube,BLF,bottom_left_filling,None,height_only,2.0,0.0,0.3149446496058741,0.007506582333795197,2.0,0.0,0.3149446496058741,0.007506582333795197,12.689190006256103,0.561735380162147,5
Merged1_normal,cube,fixed_CA,all,maximum_connected_space,maximum_connected_space,2.0,0.0,0.28909862865781233,0.027817753442978134,2.0,0.0,0.28909862865781233,0.027817753442978134,28.08728394508362,1.792675015731634,5
Merged1_normal,cube,fixed_CA,all,maximum_connected_space,minimum_bb_volume,2.0,0.0,0.293333506100853,0.02439707648930461,2.0,0.0,0.293333506100853,0.02439707648930461,27.921380710601806,0.9510359969810034,5
Merged1_normal,cube,fixed_CA,all,maximum_connected_space,waste_overlap_distance,2.0,0.0,0.293333506100853,0.02439707648930461,2.0,0.0,0.293333506100853,0.02439707648930461,27.85087823867798,1.68697116688659,5
Merged1_normal,cube,fixed_CA,all,minimum_length_of_edges_of_AABB,maximum_connected_space,2.0,0.0,0.29158889968685886,0.022395009297803723,2.0,0.0,0.29158889968685886,0.022395009297803723,28.169012546539307,1.6163376989760154,5
Merged1_normal,cube,fixed_CA,all,minimum_length_of_edges_of_AABB,minimum_bb_volume,2.0,0.0,0.3010168232372314,0.017596813120728198,2.0,0.0,0.3010168232372314,0.017596813120728198,26.933957386016846,0.6589297942937614,5
Merged1_normal,cube,fixed_CA,all,minimum_length_of_edges_of_AABB,waste_overlap_distance,2.0,0.0,0.293708238851096,0.016152553847869063,2.0,0.0,0.293708238851096,0.016152553847869063,27.207960319519042,0.879999436297747,5
Merged1_normal,cube,fixed_CA,all,minimum_volume_of_AABB,maximum_connected_space,2.0,0.0,0.2944931216931217,0.024398948107171706,2.0,0.0,0.2944931216931217,0.024398948107171706,27.872578382492065,1.661539881858403,5
Merged1_normal,cube,fixed_CA,all,minimum_volume_of_AABB,minimum_bb_volume,2.0,0.0,0.29108580066947415,0.022789197713957016,2.0,0.0,0.29108580066947415,0.022789197713957016,28.193110847473143,1.9762051098926678,5
Merged1_normal,cube,fixed_CA,all,minimum_volume_of_AABB,waste_overlap_distance,1.8,0.4472135954999579,0.30018926681783825,0.02671922180180096,1.8,0.4472135954999579,0.30018926681783825,0.02671922180180096,27.70782618522644,1.5565309598311723,5
Merged1_normal,cube,fixed_CA,bottom,maximum_connected_space,maximum_connected_space,2.0,0.0,0.30891990065867614,0.008961733101600174,2.0,0.0,0.30891990065867614,0.008961733101600174,22.0630081653595,1.0505141760080952,5
Merged1_normal,cube,fixed_CA,bottom,maximum_connected_space,minimum_bb_volume,2.0,0.0,0.3049683619479538,0.015812431055596616,2.0,0.0,0.3049683619479538,0.015812431055596616,22.13456506729126,0.8422446482943676,5
Merged1_normal,cube,fixed_CA,bottom,maximum_connected_space,waste_overlap_distance,1.8,0.4472135954999579,0.3132000431918799,0.018392442796347833,1.8,0.4472135954999579,0.3132000431918799,0.018392442796347833,21.51002769470215,1.8504859052114495,5
Merged1_normal,cube,fixed_CA,bottom,minimum_length_of_edges_of_AABB,maximum_connected_space,2.0,0.0,0.30891990065867614,0.008961733101600174,2.0,0.0,0.30891990065867614,0.008961733101600174,21.907018995285036,1.237982143445507,5
Merged1_normal,cube,fixed_CA,bottom,minimum_length_of_edges_of_AABB,minimum_bb_volume,2.0,0.0,0.3072613324694957,0.016942032729607977,2.0,0.0,0.3072613324694957,0.016942032729607977,22.196276044845582,1.121807905821242,5
Merged1_normal,cube,fixed_CA,bottom,minimum_length_of_edges_of_AABB,waste_overlap_distance,2.0,0.0,0.29532067811251483,0.015024490984797124,2.0,0.0,0.29532067811251483,0.015024490984797124,21.599384307861328,1.2170804511438997,5
Merged1_normal,cube,fixed_CA,bottom,minimum_volume_of_AABB,maximum_connected_space,2.0,0.0,0.3112128711802181,0.009729350073945504,2.0,0.0,0.3112128711802181,0.009729350073945504,22.33234887123108,1.1677407359992882,5
Merged1_normal,cube,fixed_CA,bottom,minimum_volume_of_AABB,minimum_bb_volume,2.0,0.0,0.30891990065867614,0.008961733101600174,2.0,0.0,0.30891990065867614,0.008961733101600174,22.37971987724304,0.853995897801391,5
Merged1_normal,cube,fixed_CA,bottom,minimum_volume_of_AABB,waste_overlap_distance,2.0,0.0,0.29981643451031204,0.014053315123610046,2.0,0.0,0.29981643451031204,0.014053315123610046,21.504992628097533,1.2914042639561338,5
Merged1_normal,cube,fixed_CA,bottom_top,maximum_connected_space,maximum_connected_space,2.0,0.0,0.30891990065867614,0.008961733101600174,2.0,0.0,0.30891990065867614,0.008961733101600174,23.134935903549195,1.2038740527028895,5
Merged1_normal,cube,fixed_CA,bottom_top,maximum_connected_space,minimum_bb_volume,2.0,0.0,0.3072613324694957,0.016942032729607977,2.0,0.0,0.3072613324694957,0.016942032729607977,23.51093955039978,0.24027470001683532,5
Merged1_normal,cube,fixed_CA,bottom_top,maximum_connected_space,waste_overlap_distance,1.8,0.4472135954999579,0.31090707267033796,0.018311899859102414,1.8,0.4472135954999579,0.31090707267033796,0.018311899859102414,22.11889705657959,0.8923352383027181,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_length_of_edges_of_AABB,maximum_connected_space,1.8,0.4472135954999579,0.30748109275456215,0.02828574636723434,1.8,0.4472135954999579,0.30748109275456215,0.02828574636723434,24.29789090156555,2.6038429960913407,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_length_of_edges_of_AABB,minimum_bb_volume,1.6,0.5477225575051661,0.3190656732534284,0.0226494101528243,1.6,0.5477225575051661,0.3190656732534284,0.0226494101528243,23.43527498245239,1.2865181482513492,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_length_of_edges_of_AABB,waste_overlap_distance,2.0,0.0,0.3039042867940827,0.015834258611137027,2.0,0.0,0.3039042867940827,0.015834258611137027,23.96746063232422,1.5607083970572715,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_volume_of_AABB,maximum_connected_space,2.0,0.0,0.3112128711802181,0.009729350073945504,2.0,0.0,0.3112128711802181,0.009729350073945504,23.278500366210938,1.0924104259103105,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_volume_of_AABB,minimum_bb_volume,2.0,0.0,0.3112128711802181,0.009729350073945504,2.0,0.0,0.3112128711802181,0.009729350073945504,23.06868886947632,0.6488157311728721,5
Merged1_normal,cube,fixed_CA,bottom_top,minimum_volume_of_AABB,waste_overlap_distance,2.0,0.0,0.2958648957995897,0.014360202655939019,2.0,0.0,0.2958648957995897,0.014360202655939019,22.37830023765564,0.9258541275018022,5
Merged1_normal,cylinder,BLF,bottom_left_filling,None,height_only,1.8,0.4472135954999579,0.24975665256599364,0.03217284833881301,1.8,0.4472135954999579,0.24975665256599364,0.03217284833881301,91.81764540672302,3.1260939763788063,5
Merged1_normal,cylinder,fixed_CA,all,maximum_connected_space,maximum_connected_space,2.0,0.0,0.2396252777127915,0.014694667549693822,2.0,0.0,0.2396252777127915,0.014694667549693822,119.14781017303467,1.5577803722344974,5
Merged1_normal,cylinder,fixed_CA,all,maximum_connected_space,minimum_bb_volume,2.0,0.0,0.2457060000205112,0.017936500393936745,2.0,0.0,0.2457060000205112,0.017936500393936745,119.26992106437683,1.3806860908058647,5
Merged1_normal,cylinder,fixed_CA,all,maximum_connected_space,waste_overlap_distance,2.0,0.0,0.2565258995611818,0.011951330777998787,2.0,0.0,0.2565258995611818,0.011951330777998787,117.54063649177552,2.5123254199726537,5
Merged1_normal,cylinder,fixed_CA,all,minimum_length_of_edges_of_AABB,maximum_connected_space,2.0,0.0,0.24007806534651294,0.014467355770685059,2.0,0.0,0.24007806534651294,0.014467355770685059,122.07308282852173,2.4791019274868633,5
Merged1_normal,cylinder,fixed_CA,all,minimum_length_of_edges_of_AABB,minimum_bb_volume,2.0,0.0,0.2508979648871835,0.013980972592538487,2.0,0.0,0.2508979648871835,0.013980972592538487,118.08077602386474,1.3031325821705664,5
Merged1_normal,cylinder,fixed_CA,all,minimum_length_of_edges_of_AABB,waste_overlap_distance,2.0,0.0,0.2508979648871835,0.013980972592538487,2.0,0.0,0.2508979648871835,0.013980972592538487,121.89444208145142,2.222276928962266,5
Merged1_normal,cylinder,fixed_CA,all,minimum_volume_of_AABB,maximum_connected_space,2.0,0.0,0.23652044822441604,0.025891973003428506,2.0,0.0,0.23652044822441604,0.025891973003428506,119.2375783443451,3.0256897547111734,5
Merged1_normal,cylinder,fixed_CA,all,minimum_volume_of_AABB,minimum_bb_volume,2.0,0.0,0.24008151515705553,0.0240064353718463,2.0,0.0,0.24008151515705553,0.0240064353718463,119.86529397964478,3.2011622618102082,5
Merged1_normal,cylinder,fixed_CA,all,minimum_volume_of_AABB,waste_overlap_distance,2.0,0.0,0.2396252777127915,0.014694667549693822,2.0,0.0,0.2396252777127915,0.014694667549693822,120.57870483398438,2.9523312169646285,5
Merged1_normal,cylinder,fixed_CA,bottom,maximum_connected_space,maximum_connected_space,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,102.78164248466491,2.82634486935752,5
Merged1_normal,cylinder,fixed_CA,bottom,maximum_connected_space,minimum_bb_volume,1.8,0.4472135954999579,0.25678822890452835,0.01902893686914576,1.8,0.4472135954999579,0.25678822890452835,0.01902893686914576,102.4942943096161,1.2604565077128862,5
Merged1_normal,cylinder,fixed_CA,bottom,maximum_connected_space,waste_overlap_distance,1.6,0.5477225575051661,0.2600758983516637,0.02195926473695076,1.6,0.5477225575051661,0.2600758983516637,0.02195926473695076,105.16054668426514,2.7869727053810567,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_length_of_edges_of_AABB,maximum_connected_space,1.6,0.5477225575051662,0.2650189018908422,0.01566966667641125,1.6,0.5477225575051662,0.2650189018908422,0.01566966667641125,102.3626561164856,2.7450286571005296,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_length_of_edges_of_AABB,minimum_bb_volume,1.6,0.5477225575051661,0.26715692197464297,0.013792900001768745,1.6,0.5477225575051661,0.26715692197464297,0.013792900001768745,102.05280332565307,3.127262845362712,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_length_of_edges_of_AABB,waste_overlap_distance,1.2,0.4472135954999579,0.2751837686547292,0.013596908432360767,1.2,0.4472135954999579,0.2751837686547292,0.013596908432360767,104.49748420715332,4.049493983717602,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_volume_of_AABB,maximum_connected_space,1.6,0.5477225575051662,0.2610427077562384,0.021927670246547903,1.6,0.5477225575051662,0.2610427077562384,0.021927670246547903,102.85615706443787,2.9417401342385445,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_volume_of_AABB,minimum_bb_volume,1.8,0.4472135954999579,0.26076442303913216,0.013004143736453345,1.8,0.4472135954999579,0.26076442303913216,0.013004143736453345,100.78989849090576,2.943234663811238,5
Merged1_normal,cylinder,fixed_CA,bottom,minimum_volume_of_AABB,waste_overlap_distance,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,102.90235080718995,3.4500137295312014,5
Merged1_normal,cylinder,fixed_CA,bottom_top,maximum_connected_space,maximum_connected_space,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,1.8,0.4472135954999579,0.26173123244370683,0.012886310124095897,107.48415365219117,1.3484656672410327,5
Merged1_normal,cylinder,fixed_CA,bottom_top,maximum_connected_space,minimum_bb_volume,1.8,0.4472135954999579,0.2560252458061813,0.019968559778127188,1.8,0.4472135954999579,0.2560252458061813,0.019968559778127188,107.84533295631408,1.9657825236602087,5
Merged1_normal,cylinder,fixed_CA,bottom_top,maximum_connected_space,waste_overlap_distance,1.6,0.5477225575051661,0.26684514534685194,0.014262956452609664,1.6,0.5477225575051661,0.26684514534685194,0.014262956452609664,108.59536709785462,2.3107765018816626,5
