Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
st04_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,1055.6044596000577,2,0.1610789649675241,0.2713203067932798,2,0.1610789649675241,0.2713203067932798,True,3241792.0,st04_Example3_normal_SCH_cube_F1.1_S13_minimum_bb_volume_maximum connected space_bottom.png
st04_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,3295.5906630998943,2,0.1610789649675241,0.2545117021696642,2,0.1610789649675241,0.2414365264643752,True,3241792.0,st04_Example3_normal_SCH_cube_F1.1_S19_minimum_bb_volume_maximum connected space_bottom.png
st04_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,2440.991846299963,2,0.1610789649675241,0.2388950308964918,2,0.1610789649675241,0.2376124069650366,True,3241792.0,st04_Example3_normal_SCH_cube_F1.1_S3_minimum_bb_volume_maximum connected space_bottom.png
st04_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,3248.223425600212,2,0.1610789649675241,0.2686622090498095,2,0.1610789649675241,0.2422706330325943,True,3241792.0,st04_Example3_normal_SCH_cube_F1.1_S53_minimum_bb_volume_maximum connected space_bottom.png
st04_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,2255.675011899788,2,0.1610789649675241,0.2770961246125599,2,0.1610789649675241,0.2602014564783922,True,3241792.0,st04_Example3_normal_SCH_cube_F1.1_S7_minimum_bb_volume_maximum connected space_bottom.png
st04_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,5560.464362599887,1,0.2280061574237855,0.2280061574237855,1,0.2280061574237855,0.2280061574237855,True,4580442.088933918,st04_Example3_normal_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,5149.203133599833,1,0.2280061574237855,0.2280061574237855,1,0.2280061574237855,0.2280061574237855,True,4580442.088933918,st04_Example3_normal_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,6428.369213199941,2,0.1140030787118927,0.2190963187646314,2,0.1140030787118927,0.2190963187646314,True,4580442.088933918,st04_Example3_normal_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,5761.792931,2,0.1140030787118927,0.2160490146553356,2,0.1140030787118927,0.2160490146553356,True,4580442.088933918,st04_Example3_normal_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,5301.334557899972,1,0.2280061574237855,0.2280061574237855,2,0.1140030787118927,0.2069647386854401,True,4580442.088933918,st04_Example3_normal_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
